Massachusetts Institute of Technology,60022195,Massachusetts Institute of Technology,Institution/508111,Massachusetts Institute of Technology
Stanford University,60012708,Stanford University,Institution/508219,Stanford University
Harvard University,60009982,Harvard University,Institution/508076,Harvard University
California Institute of Technology,60031581,California Institute of Technology,Institution/508021,California Institute of Technology
University of Oxford,60026851,University of Oxford,Institution/315091,University of Oxford
University of Cambridge,60031101,University of Cambridge,Institution/315068,University of Cambridge
ETH Zurich - Swiss Federal Institute of Technology,60025858,ETH Z√ºrich,Institution/306003,ETH
Imperial College London,60015150,Imperial College London,Institution/315018,Imperial College London
University of Chicago,60029278,The University of Chicago,Institution/508270,University of Chicago
UCL,60022148,UCL,Institution/315069,University of Central Lancashire
National University of Singapore,60017161,National University of Singapore,Institution/215004,National University of Singapore
Nanyang Technological University,60005510,Nanyang Technological University,Institution/215003,Nanyang Technological University
Princeton University,60003269,Princeton University,Institution/508191,Princeton University
Cornell University,60007776,Cornell University,Institution/508047,Cornell University
Yale University,60005455,Yale University,Institution/508383,Yale University
Columbia University,60030162,Columbia University in the City of New York,Institution/508046,Columbia University
Tsinghua University,60025278,Tsinghua University,Institution/203209,Tsinghua University
The University of Edinburgh,60027272,University of Edinburgh,Institution/315074,University of Edinburgh
University of Pennsylvania,60006297,University of Pennsylvania,Institution/508331,University of Pennsylvania
University of Michigan,60025778,University of Michigan,Institution/508303,University of Michigan
Johns Hopkins University,60005248,Johns Hopkins University,Institution/508094,Johns Hopkins University
EPFL - Ecole Polytechnique Federale de Lausanne,60028186,Swiss Federal Institute of Technology EPFL,Institution/306002,Swiss Federal Institute of Technology EPFL
The University of Tokyo,60025272,University of Tokyo,Institution/208180,University of Tokyo
The Australian National University,60008950,Australian National University,Institution/201001,Australian National University
The University of Hong Kong,60006541,The University of Hong Kong,Institution/205006,The University of Hong Kong
Duke University,60008724,Duke University,Institution/508053,Duke University
University of California Berkeley,60025038,"University of California, Berkeley ",Institution/508259,University of California at Berkeley
University of Toronto,60016849,University of Toronto,Institution/501048,University of Toronto
The University of Manchester,60003771,The University of Manchester,Institution/315088,University of Manchester
Peking University,60014966,Peking University,Institution/203152,Peking University
King's College London,60011520,King's College London,Institution/315026,King's College London
University of California Los Angeles,60027550,"University of California, Los Angeles ",Institution/508262,University of California Los Angeles
McGill University,60002494,McGill University,Institution/501016,McGill University
Northwestern University,60007363,Northwestern University,Institution/508175,Northwestern University
Kyoto University,60011001,Kyoto University,Institution/208081,Kyoto University
Seoul National University,60013682,Seoul National University,Institution/209063,Seoul National University
The Hong Kong University of Science and Technology,60008592,The Hong Kong University of Science and Technology,Institution/205005,Hong Kong University of Science and Technology
The London School of Economics and Political Science,60003059,The London School of Economics and Political Science,Institution/315033,The London School of Economics and Political Science
The University of Melbourne,60026553,University of Melbourne,Institution/201025,University of Melbourne
KAIST - Korea Advanced Institute of Science & Technology,60032144,KAIST - Korea Advanced Institute of Science & Technology,Institution/209037,KAIST - Korea Advanced Institute of Science & Technology
University of California San Diego,60030612,"University of California, San Diego ",Institution/508264,"University of California, San Diego "
The University of Sydney,60025709,The University of Sydney,Institution/201032,The University of Sydney
New York University,60021784,New York University,Institution/508166,New York University
Fudan University,60009860,Fudan University,Institution/203060,Fudan University
The University of New South Wales,60028333,The University of New South Wales,Institution/201027,The University of New South Wales
Carnegie Mellon University,60027950,Carnegie Mellon University,Institution/508031,Carnegie Mellon University
University of British Columbia,60010365,University of British Columbia,Institution/501036,University of British Columbia
The University of Queensland,60031004,The University of Queensland,Institution/201029,The University of Queensland
The Chinese University of Hong Kong,60002798,The Chinese University of Hong Kong,Institution/708595,The Chinese University of Hong Kong
Université PSL,60108665,Universit√© PSL,Institution/707274,Université PSL